0 192 0;
2.27273 255 4;
1113.64 144 40 100;
1238.64 144 40 0;
1363.64 144 40 100;
1488.64 144 40 0;
1613.64 144 40 100;
1738.64 144 40 0;
1863.64 144 42 100;
2238.64 144 42 0;
2363.64 144 42 100;
2988.64 144 42 0;
3113.64 144 40 100;
3238.64 144 40 0;
3363.64 144 40 100;
3488.64 144 40 0;
3613.64 144 40 100;
3738.64 144 40 0;
3863.64 144 42 100;
4238.64 144 42 0;
4363.64 144 42 100;
4988.64 144 42 0;
5113.64 144 40 100;
5238.64 144 40 0;
5363.64 144 40 100;
5488.64 144 40 0;
5613.64 144 40 100;
5738.64 144 40 0;
5740.91 255 40;
