0 192 0;
2.27273 255 4;
375 144 60 100;
625 144 60 0;
875 144 59 100;
1000 144 59 0;
1125 144 57 100;
1250 144 57 0;
1375 144 55 100;
1500 144 55 0;
1625 144 57 100;
1750 144 57 0;
1875 144 55 100;
2125 144 55 0;
2125 144 57 100;
2375 144 57 0;
2375 144 59 100;
2500 144 59 0;
2625 144 57 100;
2750 144 57 0;
2875 144 55 100;
3000 144 55 0;
3125 144 57 100;
3250 144 57 0;
3375 144 55 100;
3625 144 55 0;
3875 144 60 100;
4125 144 60 0;
4375 144 60 100;
4625 144 60 0;
4875 144 59 100;
5000 144 59 0;
5125 144 57 100;
5197.73 144 57 0;
5200 255 57;
