0 192 0;
2.27273 255 4;
1600 144 40 100;
1725 144 40 0;
1975 144 40 100;
2100 144 40 0;
2350 144 40 100;
2475 144 40 0;
2600 144 40 100;
3600 144 40 0;
3600 144 50 100;
3725 144 50 0;
3975 144 50 100;
4100 144 50 0;
4350 144 50 100;
4475 144 50 0;
4600 144 50 100;
5475 144 50 0;
5600 144 40 100;
5725 144 40 0;
5975 144 40 100;
6100 144 40 0;
6350 144 40 100;
6475 144 40 0;
6600 144 40 100;
7475 144 40 0;
7600 144 50 100;
7725 144 50 0;
7975 144 50 100;
8100 144 50 0;
8350 144 50 100;
8475 144 50 0;
8600 144 50 100;
9475 144 50 0;
9600 144 40 100;
9725 144 40 0;
9975 144 40 100;
10100 144 40 0;
10350 144 40 100;
10475 144 40 0;
10600 144 40 100;
11475 144 40 0;
11600 144 50 100;
11725 144 50 0;
11727.3 255 50;
